si_pdist,dist_pdist,convolve,prune,time_cutoff,dist_cutoff,use_known,use_gen,location,nsim,scenario,seed
lnorm,weibull,baseline,FALSE,1,1,FALSE,FALSE,centroid,1000,1,31
lnorm,weibull,baseline,FALSE,1,1,FALSE,FALSE,simulated,1000,2,54
lnorm,weibull,baseline,FALSE,1,1,FALSE,TRUE,centroid,1000,3,77
lnorm,weibull,baseline,FALSE,1,1,FALSE,TRUE,simulated,1000,4,100
lnorm,weibull,baseline,TRUE,0.99,1,FALSE,FALSE,centroid,1000,5,123
lnorm,weibull,baseline,TRUE,0.99,1,FALSE,FALSE,simulated,1000,6,146
lnorm,weibull,baseline,TRUE,0.99,1,FALSE,TRUE,centroid,1000,7,169
lnorm,weibull,baseline,TRUE,0.99,1,FALSE,TRUE,simulated,1000,8,192
lnorm,weibull,baseline,TRUE,0.99,0.99,FALSE,FALSE,centroid,1000,9,215
lnorm,weibull,baseline,TRUE,0.99,0.99,FALSE,FALSE,simulated,1000,10,238
lnorm,weibull,baseline,TRUE,0.99,0.99,FALSE,TRUE,centroid,1000,11,261
lnorm,weibull,baseline,TRUE,0.99,0.99,FALSE,TRUE,simulated,1000,12,284
lnorm,weibull,baseline,TRUE,0.975,1,FALSE,FALSE,centroid,1000,13,307
lnorm,weibull,baseline,TRUE,0.975,1,FALSE,FALSE,simulated,1000,14,330
lnorm,weibull,baseline,TRUE,0.975,1,FALSE,TRUE,centroid,1000,15,353
lnorm,weibull,baseline,TRUE,0.975,1,FALSE,TRUE,simulated,1000,16,376
lnorm,weibull,baseline,TRUE,0.975,0.975,FALSE,FALSE,centroid,1000,17,399
lnorm,weibull,baseline,TRUE,0.975,0.975,FALSE,FALSE,simulated,1000,18,422
lnorm,weibull,baseline,TRUE,0.975,0.975,FALSE,TRUE,centroid,1000,19,445
lnorm,weibull,baseline,TRUE,0.975,0.975,FALSE,TRUE,simulated,1000,20,468
lnorm,weibull,baseline,TRUE,0.95,1,FALSE,FALSE,centroid,1000,21,491
lnorm,weibull,baseline,TRUE,0.95,1,FALSE,FALSE,simulated,1000,22,514
lnorm,weibull,baseline,TRUE,0.95,1,FALSE,TRUE,centroid,1000,23,537
lnorm,weibull,baseline,TRUE,0.95,1,FALSE,TRUE,simulated,1000,24,560
lnorm,weibull,baseline,TRUE,0.95,0.95,FALSE,FALSE,centroid,1000,25,583
lnorm,weibull,baseline,TRUE,0.95,0.95,FALSE,FALSE,simulated,1000,26,606
lnorm,weibull,baseline,TRUE,0.95,0.95,FALSE,TRUE,centroid,1000,27,629
lnorm,weibull,baseline,TRUE,0.95,0.95,FALSE,TRUE,simulated,1000,28,652
lnorm,weibull,baseline,TRUE,0.975,0.99,FALSE,FALSE,centroid,1000,29,675
lnorm,weibull,baseline,TRUE,0.975,0.99,FALSE,FALSE,simulated,1000,30,698
lnorm,weibull,baseline,TRUE,0.975,0.99,FALSE,TRUE,centroid,1000,31,721
lnorm,weibull,baseline,TRUE,0.975,0.99,FALSE,TRUE,simulated,1000,32,744
